field_1,EMD_KOR_NM,대중교통,자전거도로수용율,평균경사도,인구,추정교통량,안정성지수평균,자전거이용량,hierarchical,kmedoids,kmeans,total
0,청운동,8,0.0,27.666666666666668,130677.16285541668,908.2,0.539393939,16882,0,1,2,No
1,신교동,0,0.0,9.666666666666666,130677.16285541668,908.2,0.0,0,0,3,1,No
2,궁정동,0,0.0,1.6666666666666667,130677.16285541668,908.2,0.0,0,0,3,1,No
3,효자동,2,0.0,1.0,130677.16285541668,908.2,0.0,24012,0,3,1,No
4,창성동,1,0.1448347416557405,0.6666666666666666,130677.16285541668,908.2,0.068965517,32494,0,3,1,No
5,통의동,2,0.1370510472769117,1.0,443671.5296644445,1117.0,0.25,0,0,3,1,No
6,적선동,1,0.0896190443554281,1.0,443671.5296644445,1117.0,0.175,58340,0,3,1,No
7,통인동,5,0.0,1.0,130677.16285541668,908.2,0.366666667,0,0,1,1,No
8,누상동,1,0.0,16.666666666666668,130677.16285541668,908.2,0.5,0,0,1,1,No
9,누하동,3,0.0,3.0,130677.16285541668,908.2,0.411764706,0,0,1,1,No
10,옥인동,2,0.0,27.33333333333333,130677.16285541668,908.2,0.333333333,0,0,1,1,No
11,체부동,1,0.0,5.333333333333333,443671.5296644445,1117.0,0.214285714,0,0,3,1,No
12,필운동,0,0.0,9.0,443671.5296644445,1117.0,0.611111111,0,0,1,2,No
13,내자동,4,0.0,1.0,443671.5296644445,1117.0,0.24137931,51906,0,3,1,No
14,사직동,10,0.0,6.666666666666667,443671.5296644445,1117.0,0.176470588,38416,0,3,1,No
15,도렴동,0,0.0,1.0,443671.5296644445,1117.0,0.055555556,0,0,3,1,No
16,당주동,0,0.0,0.6666666666666666,443671.5296644445,1117.0,0.0,69720,0,3,1,No
17,내수동,0,0.0,1.0,443671.5296644445,1117.0,0.0,24336,0,3,1,No
18,세종로,16,0.4289821647666364,3.333333333333333,999073.3747086396,2506.993103448276,0.239583333,156114,0,0,3,No
19,신문로1가,4,0.0,1.6666666666666667,443671.5296644445,1117.0,0.0,81442,0,3,1,No
20,신문로2가,3,0.0,10.666666666666666,443671.5296644445,1117.0,0.065789474,36604,0,3,1,No
21,청진동,0,0.0,0.3333333333333333,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
22,서린동,2,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.0,92914,0,3,1,No
23,수송동,0,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.545454545,0,0,1,2,No
24,중학동,1,0.0982934204274966,1.0,424724.68218877865,481.7931034482759,0.0,22416,0,3,1,No
25,종로1가,5,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.0,52670,0,3,1,No
26,공평동,2,0.0,0.3333333333333333,424724.68218877865,481.7931034482759,0.0,36172,0,3,1,No
27,관훈동,1,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.789473684,0,0,1,2,No
28,견지동,5,0.0,2.0,424724.68218877865,481.7931034482759,2.5,36776,3,2,0,Yes
29,와룡동,4,0.267226382224018,6.0,584349.9433838483,1959.626436781609,0.0,65298,0,3,1,No
30,권농동,1,0.0,3.0,424724.68218877865,481.7931034482759,0.571428571,0,0,1,2,No
31,운니동,5,0.0739413937310208,0.6666666666666666,424724.68218877865,481.7931034482759,0.315789474,36756,0,1,1,No
32,익선동,0,0.0,1.0,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
33,경운동,5,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.730769231,36908,0,1,2,No
34,관철동,4,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.242424242,40154,0,3,1,No
35,인사동,2,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.434782609,0,0,1,1,No
36,낙원동,1,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.090909091,36488,0,3,1,No
37,종로2가,7,0.0,0.6666666666666666,424724.68218877865,481.7931034482759,0.518518519,87522,0,1,1,No
38,팔판동,2,0.1642301270459686,2.6666666666666665,90589.43566416664,1250.142857142857,0.0,5912,0,3,1,No
39,삼청동,7,0.0,12.0,90589.43566416664,1250.142857142857,0.0,27416,0,3,1,No
40,안국동,4,0.1373903020522022,1.0,90589.43566416664,1250.142857142857,0.0,39606,0,3,1,No
41,소격동,1,0.2484386619846554,1.0,90589.43566416664,1250.142857142857,0.0,27654,0,3,1,No
42,화동,1,0.0,3.0,90589.43566416664,1250.142857142857,0.0,0,0,3,1,No
43,사간동,1,0.3845938664433375,1.6666666666666667,90589.43566416664,1250.142857142857,0.0,0,0,0,1,No
44,송현동,1,0.3816041228576421,4.0,90589.43566416664,1250.142857142857,0.0,0,0,0,1,No
45,가회동,8,0.0,7.333333333333333,310687.9574727083,2051.0,0.0,7408,0,3,1,No
46,재동,4,0.0645402663967647,1.3333333333333333,310687.9574727083,2051.0,0.0,25172,0,3,1,No
47,계동,6,0.0289458923031359,4.666666666666667,310687.9574727083,2051.0,0.195652174,0,0,3,1,No
48,원서동,3,0.0,8.0,310687.9574727083,2051.0,0.0,26556,0,3,1,No
49,훈정동,0,0.0,4.666666666666667,424724.68218877865,481.7931034482759,0.5,0,0,1,1,No
50,묘동,2,0.0,0.3333333333333333,424724.68218877865,481.7931034482759,0.0,66520,0,3,1,No
51,봉익동,0,0.0,1.6666666666666667,424724.68218877865,481.7931034482759,0.16,0,0,3,1,No
52,돈의동,1,0.0,1.0,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
53,장사동,1,0.0,2.0,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
54,관수동,1,0.0,1.3333333333333333,424724.68218877865,481.7931034482759,0.324324324,30588,0,1,1,No
55,종로3가,7,0.0,0.0,424724.68218877865,481.7931034482759,0.472222222,109618,0,1,1,No
56,인의동,2,0.0,1.0,424724.68218877865,481.7931034482759,0.0,61358,0,3,1,No
57,예지동,3,0.0,1.0,424724.68218877865,481.7931034482759,0.0,0,0,3,1,No
58,원남동,4,0.1168546104977409,3.6666666666666665,424724.68218877865,481.7931034482759,0.0,34542,0,3,1,No
59,연지동,1,0.0,2.0,406797.1483736667,3057.6,0.0,58248,0,3,1,No
60,종로4가,6,0.0,0.0,424724.68218877865,481.7931034482759,0.0,65874,0,3,1,No
61,효제동,3,0.0,0.3333333333333333,406797.1483736667,3057.6,0.393939394,4092,0,1,1,No
62,종로5가,8,0.0,0.0,406797.1483736667,3057.6,0.134615385,121908,0,3,1,No
63,종로6가,5,0.0,1.6666666666666667,406797.1483736667,3057.6,0.457627119,93286,0,1,1,No
64,이화동,2,0.0057998592598981,3.333333333333333,258517.6210818056,4744.0,0.162162162,13864,0,3,1,No
65,연건동,15,0.4027711495059952,4.0,258517.6210818056,4744.0,0.0,70974,0,0,3,No
66,충신동,3,0.0,2.0,406797.1483736667,3057.6,0.36,58234,0,1,1,No
67,동숭동,4,0.0735302008559091,6.666666666666667,258517.6210818056,4744.0,0.173410405,65282,0,3,1,No
68,혜화동,9,0.1206166641241212,4.0,159625.2611950694,1477.8333333333333,0.379746835,160154,0,1,1,No
69,명륜1가,6,0.0,10.333333333333334,159625.2611950694,1477.8333333333333,0.344262295,0,0,1,1,No
70,명륜2가,5,0.1599075194302931,7.0,159625.2611950694,1477.8333333333333,0.86746988,90610,1,1,2,No
71,명륜4가,2,0.1600330151287512,3.0,159625.2611950694,1477.8333333333333,0.081081081,65626,0,3,1,No
72,명륜3가,15,0.0,10.666666666666666,159625.2611950694,1477.8333333333333,0.18556701,0,0,3,1,No
73,창신동,17,0.0,9.666666666666666,329784.92104166665,24916.0,0.465163934,168270,0,1,1,No
74,숭인동,21,0.0,8.0,380431.4159866667,28943.0,0.400990099,240418,0,1,1,No
75,교남동,4,0.0,1.3333333333333333,26805.37144138889,2264.5,0.8,0,0,1,2,No
76,평동,6,0.0,4.0,26805.37144138889,2264.5,0.333333333,27292,0,1,1,No
77,송월동,1,0.0,9.0,26805.37144138889,2264.5,0.384615385,27320,0,1,1,No
78,홍파동,1,0.0,6.0,26805.37144138889,2264.5,0.173913043,0,0,3,1,No
79,교북동,6,0.0,5.333333333333333,26805.37144138889,2264.5,0.5,26674,0,1,1,No
80,행촌동,4,0.0,9.333333333333334,26805.37144138889,2264.5,0.142857143,0,0,3,1,No
81,구기동,18,0.0,21.666666666666668,1169905.69389375,9614.5,0.447368421,9540,0,1,1,No
82,평창동,36,0.0,13.333333333333334,1169905.69389375,9614.5,0.582995951,15806,0,1,2,No
83,부암동,9,0.0,17.0,173991.8239934722,3235.6666666666665,0.507692308,9576,0,1,1,No
84,홍지동,19,0.0,17.666666666666668,173991.8239934722,3235.6666666666665,0.28,14856,0,3,1,No
85,신영동,6,0.0,22.666666666666668,173991.8239934722,3235.6666666666665,0.253521127,4208,0,3,1,No
86,무악동,4,0.0,20.0,121030.53389458332,20422.0,0.0,50616,0,3,1,No
87,무교동,0,0.0,0.6666666666666666,406231.7243324095,638.7391304347826,0.0,0,0,3,1,No
88,다동,0,0.0,0.0,406231.7243324095,638.7391304347826,0.692307692,23618,0,1,2,No
89,태평로1가,7,0.0,2.0,406231.7243324095,638.7391304347826,0.109090909,108796,0,3,1,No
90,을지로1가,5,0.0,0.3333333333333333,406231.7243324095,638.7391304347826,0.454545455,112640,0,1,1,No
91,을지로2가,3,0.0,1.0,406231.7243324095,638.7391304347826,0.238095238,115472,0,3,1,No
92,남대문로1가,3,0.0,0.0,406231.7243324095,638.7391304347826,0.0,12222,0,3,1,No
93,삼각동,1,0.0,0.6666666666666666,406231.7243324095,638.7391304347826,0.0,0,0,3,1,No
94,수하동,0,0.0,1.0,406231.7243324095,638.7391304347826,0.7,0,0,1,2,No
95,장교동,0,0.0,0.3333333333333333,406231.7243324095,638.7391304347826,0.137931034,48794,0,3,1,No
96,수표동,1,0.0,1.6666666666666667,406231.7243324095,638.7391304347826,0.0,28426,0,3,1,No
97,소공동,2,0.0,1.3333333333333333,909789.0178951388,1177.3333333333333,0.1875,12636,0,3,1,No
98,남창동,8,0.0,2.333333333333333,672759.5408007082,1544.2,0.411111111,2480,0,1,1,No
99,북창동,0,0.0,0.6666666666666666,909789.0178951388,1177.3333333333333,0.0,0,0,3,1,No
100,태평로2가,8,0.0,1.0,909789.0178951388,1177.3333333333333,0.0,0,0,3,1,No
101,남대문로2가,7,0.0,0.0,1316020.7422275485,1816.072463768116,0.0,0,0,3,1,No
102,남대문로3가,3,0.0,1.0,1582548.5586958467,2721.5333333333333,0.25,32258,0,3,1,No
103,남대문로4가,2,0.0,1.3333333333333333,1582548.5586958467,2721.5333333333333,0.0,41434,0,3,1,No
104,남대문로5가,11,0.0,7.0,672759.5408007082,1544.2,0.408695652,39880,0,1,1,No
105,봉래동1가,3,0.0,2.0,1582548.5586958467,2721.5333333333333,1.5,0,3,2,0,Yes
106,봉래동2가,12,0.0,1.0,672759.5408007082,1544.2,0.268656716,56526,0,3,1,No
107,회현동1가,3,0.0,8.0,1078991.2651331176,2182.939130434783,0.202797203,16918,0,3,1,No
108,회현동2가,3,0.0,2.6666666666666665,1078991.2651331176,2182.939130434783,1.407407407,16308,3,2,0,Yes
109,회현동3가,0,0.0,2.0,406231.7243324095,638.7391304347826,0.0,0,0,3,1,No
110,충무로1가,2,0.0,1.6666666666666667,1078991.2651331176,2182.939130434783,0.935483871,9512,1,1,2,No
111,충무로2가,3,0.0,1.3333333333333333,406231.7243324095,638.7391304347826,0.18,28926,0,3,1,No
112,명동1가,0,0.0,0.6666666666666666,406231.7243324095,638.7391304347826,0.176470588,0,0,3,1,No
113,명동2가,0,0.0,6.666666666666667,406231.7243324095,638.7391304347826,0.384615385,12372,0,1,1,No
114,남산동1가,1,0.0,1.6666666666666667,406231.7243324095,638.7391304347826,1.0,0,1,2,2,No
115,남산동2가,0,0.0,5.666666666666667,406231.7243324095,638.7391304347826,0.290322581,0,0,3,1,No
116,남산동3가,0,0.0,6.0,406231.7243324095,638.7391304347826,0.0,0,0,3,1,No
117,저동1가,3,0.0,2.333333333333333,406231.7243324095,638.7391304347826,0.0,26608,0,3,1,No
118,충무로4가,2,0.0,1.0,759513.4404695908,2739.4636363636364,0.434782609,26542,0,1,1,No
119,충무로5가,1,0.0,2.6666666666666665,759513.4404695908,2739.4636363636364,0.433333333,37482,0,1,1,No
120,인현동2가,0,0.0,1.3333333333333333,578590.24302425,1411.1,0.135135135,0,0,3,1,No
121,예관동,1,0.0,1.0,578590.24302425,1411.1,0.090909091,0,0,3,1,No
122,묵정동,1,0.0,4.0,628153.2649402021,7106.696969696969,1.676470588,0,3,2,0,Yes
123,필동1가,4,0.0,4.666666666666667,180923.1974453409,1328.3636363636365,0.434782609,28554,0,1,1,No
124,필동2가,3,0.0,3.0,180923.1974453409,1328.3636363636365,0.25,0,0,3,1,No
125,필동3가,0,0.0,9.333333333333334,180923.1974453409,1328.3636363636365,0.186046512,19304,0,3,1,No
126,남학동,0,0.0,8.0,180923.1974453409,1328.3636363636365,0.0,5584,0,3,1,No
127,주자동,0,0.0,3.0,180923.1974453409,1328.3636363636365,0.0,0,0,3,1,No
128,예장동,4,0.0,12.666666666666666,587154.9217777502,1967.102766798419,0.118811881,0,0,3,1,No
129,장충동1가,4,0.0,2.0,447230.0674948612,5778.333333333333,0.438095238,0,0,1,1,No
130,장충동2가,10,0.1946538426312707,9.333333333333334,628153.2649402021,7106.696969696969,0.333333333,47808,0,1,1,No
131,광희동1가,2,0.0,1.0,578590.24302425,1411.1,0.166666667,25552,0,3,1,No
132,광희동2가,4,0.0,3.6666666666666665,578590.24302425,1411.1,0.0,26054,0,3,1,No
133,쌍림동,3,0.1221817260266992,2.333333333333333,578590.24302425,1411.1,0.407407407,61934,0,1,1,No
134,을지로6가,7,0.0,1.3333333333333333,578590.24302425,1411.1,0.730769231,78818,0,1,2,No
135,을지로7가,7,0.0,3.333333333333333,578590.24302425,1411.1,0.125,78336,0,3,1,No
136,을지로4가,5,0.0,1.0,214663.89915154167,1387.5,0.197368421,83714,0,3,1,No
137,을지로5가,3,0.0948350118169288,0.3333333333333333,214663.89915154167,1387.5,0.288135593,35122,0,3,1,No
138,주교동,3,0.0,0.3333333333333333,214663.89915154167,1387.5,0.0,0,0,3,1,No
139,방산동,3,0.2242658903644442,0.0,214663.89915154167,1387.5,0.0,0,0,3,1,No
140,오장동,0,0.0028079442278464,1.6666666666666667,578590.24302425,1411.1,0.289473684,0,0,3,1,No
141,을지로3가,5,0.0,0.6666666666666666,214663.89915154167,1387.5,0.564516129,42582,0,1,2,No
142,입정동,1,0.0,1.0,214663.89915154167,1387.5,0.212765957,0,0,3,1,No
143,산림동,0,0.0,1.3333333333333333,214663.89915154167,1387.5,0.0,0,0,3,1,No
144,충무로3가,0,0.0,1.6666666666666667,180923.1974453409,1328.3636363636365,0.681818182,0,0,1,2,No
145,초동,0,0.0,1.0,214663.89915154167,1387.5,0.818181818,36538,0,1,2,No
146,인현동1가,1,0.0,1.0,214663.89915154167,1387.5,0.436363636,0,0,1,1,No
147,저동2가,0,0.0,2.0,214663.89915154167,1387.5,0.212765957,0,0,3,1,No
148,신당동,49,0.0,11.333333333333334,3981311.753570694,79346.33333333333,0.273427471,233872,0,3,1,No
149,흥인동,3,0.0,0.6666666666666666,209404.62957236115,3229.333333333333,0.288135593,92114,0,3,1,No
150,무학동,0,0.0,0.3333333333333333,209404.62957236115,3229.333333333333,0.658536585,0,0,1,2,No
151,황학동,7,0.0,2.6666666666666665,278783.48032,8874.0,0.480701754,146214,0,1,1,No
152,서소문동,4,0.0,3.0,909789.0178951388,1177.3333333333333,1.0,109336,1,2,2,No
153,정동,5,0.0,5.0,909789.0178951388,1177.3333333333333,0.711111111,0,0,1,2,No
154,순화동,2,0.0,2.0,1582548.5586958467,2721.5333333333333,1.210526316,46700,1,2,2,No
155,의주로1가,6,0.0,1.3333333333333333,909789.0178951388,1177.3333333333333,0.444444444,0,0,1,1,No
156,충정로1가,1,0.0,2.333333333333333,909789.0178951388,1177.3333333333333,2.4,26954,3,2,0,Yes
157,중림동,7,0.0,3.6666666666666665,148095.90567885415,2738.5,0.363636364,51486,0,1,1,No
158,의주로2가,0,0.0,4.333333333333333,148095.90567885415,2738.5,0.0,2546,0,3,1,No
159,만리동1가,2,0.0,10.0,148095.90567885415,2738.5,0.80952381,9296,0,1,2,No
160,만리동2가,2,0.0,6.666666666666667,148095.90567885415,2738.5,0.65248227,19732,0,1,2,No
161,후암동,17,0.0,12.0,331044.16168125,7328.0,0.646153846,59478,0,1,2,No
162,용산동2가,23,0.0315869081646727,12.666666666666666,121389.31615916666,9043.5,0.5,38708,0,1,1,No
163,용산동4가,4,0.9508554504403052,5.666666666666667,121389.31615916666,9043.5,1.45,7864,2,0,3,No
164,갈월동,12,0.0366925377040352,5.666666666666667,841873.6915430208,4485.25,0.0,82774,0,3,1,No
165,남영동,3,0.0,0.6666666666666666,841873.6915430208,4485.25,0.0,41184,0,3,1,No
166,용산동1가,3,0.6504387944021018,1.3333333333333333,841873.6915430208,4485.25,0.354166667,29792,2,0,3,No
167,동자동,8,0.0,5.0,841873.6915430208,4485.25,0.096,27602,0,3,1,No
168,서계동,8,0.0,7.666666666666667,172918.1405067708,2460.25,0.35,32038,0,1,1,No
169,청파동1가,3,0.0,11.666666666666666,172918.1405067708,2460.25,0.511111111,19108,0,1,1,No
170,청파동2가,10,0.0,7.666666666666667,172918.1405067708,2460.25,0.68241966,44834,0,1,2,No
171,청파동3가,3,0.0,8.666666666666666,172918.1405067708,2460.25,0.148760331,41956,0,3,1,No
172,원효로1가,8,0.0177643918512113,6.0,183120.72074322915,2883.5,0.72,0,0,1,2,No
173,원효로2가,7,0.0,1.3333333333333333,183120.72074322915,2883.5,0.6,39652,0,1,2,No
174,신창동,4,0.0,8.0,122541.560731,4690.4,1.12195122,0,1,2,2,No
175,산천동,3,0.0,17.333333333333332,122541.560731,4690.4,1.032258065,0,1,2,2,No
176,청암동,4,0.1942498411611067,9.333333333333334,122541.560731,4690.4,2.6,25150,3,2,0,Yes
177,원효로3가,4,0.0,2.333333333333333,122541.560731,4690.4,1.12173913,40576,1,2,2,No
178,원효로4가,8,0.1424172087091249,9.0,122541.560731,4690.4,1.389240506,71738,3,2,0,Yes
179,효창동,15,0.0,9.0,227814.21148375,9688.0,0.530758226,15724,0,1,2,No
180,도원동,6,0.0,7.0,174566.65055375,3672.0,0.172413793,0,0,3,1,No
181,용문동,13,0.0,2.6666666666666665,174566.65055375,3672.0,0.693877551,52720,0,1,2,No
182,문배동,5,0.1223261594239672,1.0,183120.72074322915,2883.5,0.714285714,54358,0,1,2,No
183,신계동,2,0.0,4.0,183120.72074322915,2883.5,0.094117647,0,0,3,1,No
184,한강로1가,8,0.0507229457590851,3.333333333333333,1228054.56674775,2856.6,0.476190476,118946,0,1,1,No
185,한강로2가,12,0.0,2.0,1228054.56674775,2856.6,0.580152672,249574,0,1,2,No
186,용산동3가,1,0.3436490336792934,2.333333333333333,1228054.56674775,2856.6,0.539473684,0,1,0,3,No
187,용산동5가,5,0.0,1.0,1228054.56674775,2856.6,1.209090909,33286,1,2,2,No
188,한강로3가,22,0.0244014079060653,2.0,1228054.56674775,2856.6,0.659517426,172924,0,1,2,No
189,이촌동,32,0.5046965111706544,2.0,1624172.9613308336,62787.0,0.538461538,233758,2,0,3,No
190,이태원동,37,0.0,13.0,2016148.622235417,20878.0,0.621099554,56638,0,1,2,No
191,한남동,41,0.1131612628052266,9.0,4709906.154082917,24615.0,0.489391796,127214,0,1,1,No
192,동빙고동,5,0.031480168919846,7.0,414663.3157408334,6505.75,0.474576271,14960,0,1,1,No
193,서빙고동,12,0.5141473846594248,2.333333333333333,414663.3157408334,6505.75,0.359375,78130,2,0,3,No
194,주성동,0,0.1538810478439073,5.333333333333333,414663.3157408334,6505.75,0.0,0,0,3,1,No
195,용산동6가,9,0.8510063443255921,3.0,414663.3157408334,6505.75,0.213114754,31324,2,0,3,No
196,보광동,12,0.0250812146032906,4.666666666666667,186629.3786675,14518.0,0.156028369,21000,0,3,1,No
197,상왕십리동,6,0.2941921975212389,5.0,209740.17317010416,2311.75,0.532544379,185788,1,0,3,No
198,하왕십리동,27,0.0269952381413465,4.0,430287.0584409375,6874.75,0.823275862,96706,0,1,2,No
199,홍익동,3,0.0502441207023427,3.333333333333333,209740.17317010416,2311.75,1.375,91028,1,2,0,No
200,도선동,5,0.0,1.3333333333333333,209740.17317010416,2311.75,2.170212766,0,3,2,0,Yes
201,마장동,29,0.0931656852258212,8.666666666666666,850689.2790258334,16131.0,1.532894737,270106,3,2,0,Yes
202,사근동,26,0.1505187913667669,9.666666666666666,214914.92271,8206.0,1.974358974,77564,3,2,0,Yes
203,행당동,72,0.0228284739418681,5.333333333333333,792795.4304816667,27384.0,1.658659924,376518,3,2,0,Yes
204,응봉동,33,0.1833597551955883,8.0,252935.02160125,7996.0,0.877358491,118832,1,0,2,No
205,금호동1가,40,0.0,4.666666666666667,317001.42803916667,8896.0,0.4,6130,0,1,1,No
206,금호동2가,18,0.0,10.666666666666666,92863.554495,4510.5,0.572916667,28836,0,1,2,No
207,금호동3가,20,0.0,10.0,92863.554495,4510.5,1.228187919,9156,1,2,2,No
208,금호동4가,31,0.1477495771505275,12.0,192046.35916541668,29351.0,0.828746177,67662,1,1,2,No
209,옥수동,42,0.3530746412117246,7.666666666666667,730108.9736841668,28845.0,0.849710983,115002,1,0,3,No
210,성수동1가,46,0.2373822015185727,7.0,1412873.6751799998,64896.0,1.374795417,689368,1,2,0,No
211,성수동2가,52,0.1167719584146974,2.6666666666666665,4552690.1085225,29313.0,1.475903614,851676,3,2,0,Yes
212,송정동,13,0.3660046051162486,3.0,615869.385284375,36748.5,0.558139535,218038,1,0,3,No
213,용답동,14,0.2496543280928137,6.333333333333333,418477.04256979167,7991.5,0.978453739,255328,1,0,2,No
214,중곡동,91,0.1721842584216102,3.6666666666666665,2077161.2656645835,76531.0,0.52625,319228,0,1,2,No
215,능동,11,0.2335999973668048,4.333333333333333,356569.6798045833,17655.0,0.744402985,255506,1,0,2,No
216,구의동,59,0.1338346390003859,3.6666666666666665,2651357.012729167,48666.0,0.554396423,719742,0,1,2,No
217,광장동,39,0.4306933356409194,2.6666666666666665,2339571.175287917,20040.0,0.298755187,197134,0,0,3,No
218,자양동,64,0.1781549042715838,5.0,2652858.0749620837,77593.0,0.567501227,1533094,0,1,2,No
219,화양동,21,0.0730952062213037,2.0,625708.7970875,19814.0,0.570977918,665256,0,1,2,No
220,군자동,22,0.0668558581972442,4.666666666666667,417546.0146233333,15408.0,0.401851852,574272,0,1,1,No
221,신설동,12,0.0,1.6666666666666667,1382779.3431572916,7355.5,0.484662577,150912,0,1,1,No
222,용두동,31,0.0237467482022525,3.333333333333333,1382779.3431572916,7355.5,0.389144434,580582,0,1,1,No
223,제기동,28,0.0,0.6666666666666666,769836.27018375,15166.0,0.435356201,210614,0,1,1,No
224,전농동,46,0.0,4.666666666666667,836208.1619716666,19375.0,0.388596491,345284,0,1,1,No
225,답십리동,46,0.0456279593513337,9.333333333333334,1366559.8048262498,17495.0,0.668558456,439702,0,1,2,No
226,장안동,60,0.067622140594086,0.3333333333333333,2384733.930939584,27977.0,0.386284722,494268,0,1,1,No
227,청량리동,24,0.0716398176587062,5.333333333333333,675730.5556829165,12413.0,0.217488789,248802,0,3,1,No
228,회기동,8,0.0,9.0,235946.7419445833,9934.0,0.367924528,32696,0,1,1,No
229,휘경동,33,0.0375140234719844,6.333333333333333,851866.4410854167,29127.0,0.425414365,343224,0,1,1,No
230,이문동,39,0.0365580302724151,2.6666666666666665,929784.4024591666,23161.0,0.533697632,209322,0,1,2,No
231,면목동,126,0.0606804056284286,8.333333333333334,1711207.1793416669,93974.0,0.48670977,619406,0,1,1,No
232,상봉동,34,0.0240912036508933,1.0,1082839.4824866666,17066.0,0.380866426,583716,0,1,1,No
233,중화동,44,0.0657574659281752,1.3333333333333333,574142.7969945833,30343.0,0.302457467,372882,0,3,1,No
234,묵동,54,0.1124276124859899,4.666666666666667,731311.5897079168,19140.0,0.351395731,358702,0,1,1,No
235,망우동,69,0.0,8.666666666666666,735175.2847395833,24531.0,0.386440678,262258,0,1,1,No
236,신내동,74,0.1530219275873581,5.0,1142235.4358883332,23129.0,0.275362319,370308,0,3,1,No
237,성북동,37,0.0208048758987427,18.33333333333333,604326.1066447917,1459.0,0.222222222,57492,0,3,1,No
238,성북동1가,5,0.0072785526621539,6.666666666666667,604326.1066447917,1459.0,0.169491525,20636,0,3,1,No
239,돈암동,48,0.0,10.0,1952432.465622014,28672.625,0.497368421,36172,0,1,1,No
240,동소문동1가,1,0.0424808252756376,6.333333333333333,604326.1066447917,1459.0,0.615384615,39944,0,1,2,No
241,동소문동2가,3,0.0,0.6666666666666666,90693.63447652778,980.0,2.142857143,47638,3,2,0,Yes
242,동소문동3가,2,0.0,1.3333333333333333,90693.63447652778,980.0,2.0,17980,3,2,0,Yes
243,동소문동4가,3,0.0,8.0,604326.1066447917,1459.0,0.0,20346,0,3,1,No
