field_1,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,BusStationCount
0,11110101,Cheongun-dong,청운동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,8
1,11110102,Singyo-dong,신교동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
2,11110103,Gungjeong-dong,궁정동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
3,11110104,Hyoja-dong,효자동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
4,11110105,Changseong-dong,창성동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
5,11110106,Tongui-dong,통의동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
6,11110107,Jeokseon-dong,적선동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
7,11110108,Tongin-dong,통인동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,5
8,11110109,Nusang-dong,누상동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
9,11110110,Nuha-dong,누하동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,3
10,11110111,Ogin-dong,옥인동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
11,11110112,Chebu-dong,체부동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
12,11110113,Pirun-dong,필운동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
13,11110114,Naeja-dong,내자동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
14,11110115,Sajik-dong,사직동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,10
15,11110116,Doryeom-dong,도렴동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
16,11110117,Dangju-dong,당주동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
17,11110118,Naesu-dong,내수동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
18,11110119,Sejongno,세종로,11110,Jongno-gu,종로구,11,Seoul,서울특별시,15
19,11110120,Sinmunno 1(il)-ga,신문로1가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
20,11110121,Sinmunno 2(i)-ga,신문로2가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,3
21,11110122,Cheongjin-dong,청진동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
22,11110123,Seorin-dong,서린동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
23,11110124,Susong-dong,수송동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
24,11110125,Junghak-dong,중학동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
25,11110126,Jongno 1(il)-ga,종로1가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
26,11110127,Gongpyeong-dong,공평동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
27,11110128,Gwanhun-dong,관훈동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
28,11110129,Gyeonji-dong,견지동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,5
29,11110130,Waryong-dong,와룡동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
30,11110131,Gwonnong-dong,권농동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
31,11110132,Unni-dong,운니동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,5
32,11110133,Ikseon-dong,익선동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
33,11110134,Gyeongun-dong,경운동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
34,11110135,Gwancheol-dong,관철동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
35,11110136,Insa-dong,인사동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
36,11110137,Nagwon-dong,낙원동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
37,11110138,Jongno 2(i)-ga,종로2가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,7
38,11110139,Palpan-dong,팔판동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
39,11110140,Samcheong-dong,삼청동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,7
40,11110141,Anguk-dong,안국동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
41,11110142,Sogyeok-dong,소격동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
42,11110143,Hwa-dong,화동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
43,11110144,Sagan-dong,사간동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
44,11110145,Songhyeon-dong,송현동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
45,11110146,Gahoe-dong,가회동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,8
46,11110147,Jae-dong,재동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
47,11110148,Gye-dong,계동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,6
48,11110149,Wonseo-dong,원서동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,3
49,11110150,Hunjeong-dong,훈정동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
50,11110151,Myo-dong,묘동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
51,11110152,Bongik-dong,봉익동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
52,11110153,Donui-dong,돈의동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0
53,11110154,Jangsa-dong,장사동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
54,11110155,Gwansu-dong,관수동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
55,11110156,Jongno 3(sam)-ga,종로3가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,6
56,11110157,Inui-dong,인의동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
57,11110158,Yeji -dong,예지동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,3
58,11110159,Wonnam-dong,원남동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
59,11110160,Yeonji-dong,연지동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
60,11110161,Jongno 4(sa)-ga,종로4가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,6
61,11110162,Hyoje-dong,효제동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,3
62,11110163,Jongno 5(o)-ga,종로5가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,7
63,11110164,Jongno 6(yuk)-ga,종로6가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
64,11110165,Ihwa-dong,이화동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
65,11110166,Yeongeon-dong,연건동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,15
66,11110167,Chungsin-dong,충신동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,3
67,11110168,Dongsung-dong,동숭동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,3
68,11110169,Hyehwa-dong,혜화동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,9
69,11110170,Myeongnyun 1(il)-ga,명륜1가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,6
70,11110171,Myeongnyun 2(i)-ga,명륜2가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,5
71,11110172,Myeongnyun 4(sa)-ga,명륜4가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,2
72,11110173,Myeongnyun 3(sam)-ga,명륜3가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,15
73,11110174,Changsin-dong,창신동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,14
74,11110175,Sungin-dong,숭인동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,20
75,11110176,Gyonam-dong,교남동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
76,11110177,Pyeong-dong,평동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,6
77,11110178,Songwol-dong,송월동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
78,11110179,Hongpa-dong,홍파동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1
79,11110180,Gyobuk-dong,교북동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,6
80,11110181,Haengchon-dong,행촌동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
81,11110182,Gugi-dong,구기동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,18
82,11110183,Pyeongchang-dong,평창동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,36
83,11110184,Buam-dong,부암동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,9
84,11110185,Hongji-dong,홍지동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,19
85,11110186,Sinyeong-dong,신영동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,6
86,11110187,Muak-dong,무악동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,4
87,11140101,Mugyo-dong,무교동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
88,11140102,Da-dong,다동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
89,11140103,Taepyeongno 1(il)-ga,태평로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,7
90,11140104,Euljiro 1(il)-ga,을지로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,4
91,11140105,Euljiro 2(i)-ga,을지로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
92,11140106,Namdaemunno 1(il)-ga,남대문로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
93,11140107,Samgak-dong,삼각동,11140,Jung-gu,중구,11,Seoul,서울특별시,1
94,11140108,Suha-dong,수하동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
95,11140109,Janggyo-dong,장교동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
96,11140110,Supyo-dong,수표동,11140,Jung-gu,중구,11,Seoul,서울특별시,1
97,11140111,Sogong-dong,소공동,11140,Jung-gu,중구,11,Seoul,서울특별시,2
98,11140112,Namchang-dong,남창동,11140,Jung-gu,중구,11,Seoul,서울특별시,7
99,11140113,Bukchang-dong,북창동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
100,11140114,Taepyeongno 2(i)-ga,태평로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,8
101,11140115,Namdaemunno 2(i)-ga,남대문로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,7
102,11140116,Namdaemunno 3(sam)-ga,남대문로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
103,11140117,Namdaemunno 4(sa)-ga,남대문로4가,11140,Jung-gu,중구,11,Seoul,서울특별시,2
104,11140118,Namdaemunno 5(o)-ga,남대문로5가,11140,Jung-gu,중구,11,Seoul,서울특별시,11
105,11140119,Bongnae-dong 1(il)-ga,봉래동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
106,11140120,Bongnae-dong 2(i)-ga,봉래동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,9
107,11140121,Hoehyeon-dong 1(il)-ga,회현동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
108,11140122,Hoehyeon-dong 2(i)-ga,회현동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
109,11140123,Hoehyeon-dong 3(sam)-ga,회현동3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
110,11140124,Chungmuro 1(il)-ga,충무로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,2
111,11140125,Chungmuro 2(i)-ga,충무로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,2
112,11140126,Myeong-dong 1(il)-ga,명동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
113,11140127,Myeong-dong 2(i)-ga,명동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
114,11140128,Namsan-dong 1(il)-ga,남산동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
115,11140129,Namsan-dong 2(i)-ga,남산동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
116,11140130,Namsan-dong 3(sam)-ga,남산동3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
117,11140131,Jeo-dong 1(il)-ga,저동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
118,11140132,Chungmuro 4(sa)-ga,충무로4가,11140,Jung-gu,중구,11,Seoul,서울특별시,2
119,11140133,Chungmuro 5(o)-ga,충무로5가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
120,11140134,Inhyeon-dong 2(i)-ga,인현동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
121,11140135,Yegwan-dong,예관동,11140,Jung-gu,중구,11,Seoul,서울특별시,1
122,11140136,Mukjeong-dong,묵정동,11140,Jung-gu,중구,11,Seoul,서울특별시,1
123,11140137,Pil-dong 1(il)-ga,필동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,4
124,11140138,Pildong 2(i)-ga,필동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
125,11140139,Pil-dong 3(sam)-ga,필동3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
126,11140140,Namhak-dong,남학동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
127,11140141,Juja-dong,주자동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
128,11140142,Yejang-dong,예장동,11140,Jung-gu,중구,11,Seoul,서울특별시,4
129,11140143,Jangchung-dong 1(il)-ga,장충동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,4
130,11140144,Jangchung-dong 2(i)-ga,장충동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,9
131,11140145,Gwanghui-dong 1(il)-ga,광희동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
132,11140146,Gwanghui-dong 2(i)-ga,광희동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,4
133,11140147,Ssangnim-dong,쌍림동,11140,Jung-gu,중구,11,Seoul,서울특별시,3
134,11140148,Euljiro 6(yuk)-ga,을지로6가,11140,Jung-gu,중구,11,Seoul,서울특별시,7
135,11140149,Euljiro 7(chil)-ga,을지로7가,11140,Jung-gu,중구,11,Seoul,서울특별시,5
136,11140150,Euljiro 4(sa)-ga,을지로4가,11140,Jung-gu,중구,11,Seoul,서울특별시,4
137,11140151,Euljiro 5(o)-ga,을지로5가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
138,11140152,Jugyo-dong,주교동,11140,Jung-gu,중구,11,Seoul,서울특별시,2
139,11140153,Bangsan-dong,방산동,11140,Jung-gu,중구,11,Seoul,서울특별시,3
140,11140154,Ojang-dong,오장동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
141,11140155,Euljiro 3(sam)-ga,을지로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,3
142,11140156,Ipjeong-dong,입정동,11140,Jung-gu,중구,11,Seoul,서울특별시,1
143,11140157,Sallim-dong,산림동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
144,11140158,Chungmuro 3(sam)-ga,충무로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
145,11140159,Cho-dong,초동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
146,11140160,Inhyeon-dong 1(il)-ga,인현동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
147,11140161,Jeo-dong 2(i)-ga,저동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
148,11140162,Sindang-dong,신당동,11140,Jung-gu,중구,11,Seoul,서울특별시,43
149,11140163,Heungin-dong,흥인동,11140,Jung-gu,중구,11,Seoul,서울특별시,2
150,11140164,Muhak-dong,무학동,11140,Jung-gu,중구,11,Seoul,서울특별시,0
151,11140165,Hwanghak-dong,황학동,11140,Jung-gu,중구,11,Seoul,서울특별시,7
152,11140166,Seosomun-dong,서소문동,11140,Jung-gu,중구,11,Seoul,서울특별시,3
153,11140167,Jeong-dong,정동,11140,Jung-gu,중구,11,Seoul,서울특별시,4
154,11140168,Sunhwa-dong,순화동,11140,Jung-gu,중구,11,Seoul,서울특별시,2
155,11140169,Uijuro 1(il)-ga,의주로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,6
156,11140170,Chungjeongno 1(il)-ga,충정로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,1
157,11140171,Jungnim-dong,중림동,11140,Jung-gu,중구,11,Seoul,서울특별시,7
158,11140172,Uijuro 2(i)-ga,의주로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0
159,11140173,Malli-dong 1(il)-ga,만리동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,2
160,11140174,Malli-dong 2(i)-ga,만리동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,2
161,11170101,Huam-dong,후암동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,17
162,11170102,yongsan-dong  2(i)-ga,용산동2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,23
163,11170103,Yongsan-dong 4(sa)-ga,용산동4가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
164,11170104,Garwol-dong,갈월동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,10
165,11170105,Namyeong-dong,남영동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
166,11170106,Yongsan-dong 1(il)-ga,용산동1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
167,11170107,Dongja-dong,동자동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,5
168,11170108,Seogye-dong,서계동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,8
169,11170109,Cheongpa-dong 1(il)-ga,청파동1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
170,11170110,Cheongpa-dong 2(i)-ga,청파동2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,10
171,11170111,Cheongpa-dong 3(sam)-ga,청파동3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
172,11170112,Wonhyoro 1(iI)-ga,원효로1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,8
173,11170113,Wonhyoro 2(i)-ga,원효로2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,7
174,11170114,Sinchang-dong,신창동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,4
175,11170115,Sancheon-dong,산천동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
176,11170116,Cheongam-dong,청암동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,4
177,11170117,Wonhyoro 3(sam)-ga,원효로3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,4
178,11170118,Wonhyoro 4(sa)-ga,원효로4가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,8
179,11170119,Hyochang-dong,효창동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,15
180,11170120,Dowon-dong,도원동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,6
181,11170121,Yongmun-dong,용문동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,11
182,11170122,Munbae-dong,문배동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,5
183,11170123,Singye-dong,신계동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,2
184,11170124,Hangangno 1(il)-ga,한강로1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,6
185,11170125,Hangangno 2(i)-ga,한강로2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,11
186,11170126,Yongsan-dong 3(sam)-ga,용산동3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,1
187,11170127,Yongsan-dong 5(o)-ga,용산동5가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,3
188,11170128,Hangangno 3(sam)-ga,한강로3가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,21
189,11170129,Ichon-dong,이촌동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,32
190,11170130,Itaewon-dong,이태원동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,36
191,11170131,Hannam-dong,한남동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,39
192,11170132,Dongbinggo-dong,동빙고동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,5
193,11170133,Seobinggo-dong,서빙고동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,11
194,11170134,Juseong-dong,주성동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0
195,11170135,Yongsan-dong 6(yuk)-ga,용산동6가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,9
196,11170136,Bogwang-dong,보광동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,12
197,11200101,Sangwangsimni-dong,상왕십리동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,6
198,11200102,Hawangsimni-dong,하왕십리동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,26
199,11200103,Hongik-dong,홍익동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,3
200,11200104,Doseon-dong,도선동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,5
201,11200105,Majang-dong,마장동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,28
202,11200106,Sageun-dong,사근동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,25
203,11200107,Haengdang-dong,행당동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,67
204,11200108,Eungbong-dong,응봉동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,32
205,11200109,Geumho-dong1(il)-ga,금호동1가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,39
206,11200110,Geumho-dong2(i)-ga,금호동2가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,18
207,11200111,Geumho-dong3(sam)-ga,금호동3가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,20
208,11200112,Geumho-dong4(sa)-ga,금호동4가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,30
209,11200113,Oksu-dong,옥수동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,40
210,11200114,Seongsu-dong1(il)-ga,성수동1가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,44
211,11200115,Seongsu-dong2(i)-ga,성수동2가,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,51
212,11200118,Songjeong-dong,송정동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,13
213,11200122,Yongdap-dong,용답동,11200,Seongdong-gu,성동구,11,Seoul,서울특별시,11
214,11215101,Junggok-dong,중곡동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,90
215,11215102,Neung-dong,능동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,8
216,11215103,Guui-dong,구의동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,57
217,11215104,Gwangjang-dong,광장동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,38
218,11215105,Jayang-dong,자양동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,61
219,11215107,Hwayang-dong,화양동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,20
220,11215109,Gunja-dong,군자동,11215,Gwangjin-gu,광진구,11,Seoul,서울특별시,22
221,11230101,Sinseol-dong,신설동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,9
222,11230102,Yongdu-dong,용두동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,29
223,11230103,Jegi-dong,제기동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,27
224,11230104,Jeonnong-dong,전농동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,44
225,11230105,Dapsipni-dong,답십리동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,46
226,11230106,Jangan-dong,장안동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,60
227,11230107,Cheongnyangni-dong,청량리동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,24
228,11230108,Hoegi-dong,회기동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,8
229,11230109,Hwigyeong-dong,휘경동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,32
230,11230110,Imun-dong,이문동,11230,Dongdaemun-gu,동대문구,11,Seoul,서울특별시,37
231,11260101,Myeonmok-dong,면목동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,123
232,11260102,Sangbong-dong,상봉동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,31
233,11260103,Junghwa-dong,중화동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,42
234,11260104,Muk-dong,묵동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,53
235,11260105,Mangu-dong,망우동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,67
236,11260106,Sinnae-dong,신내동,11260,Jungnang-gu,중랑구,11,Seoul,서울특별시,72
237,11290101,Seongbuk-dong,성북동,11290,Seongbuk-gu,성북구,11,Seoul,서울특별시,37
