field_1,EMD_CD,EMD_ENG_NM,EMD_KOR_NM,SIG_CD,SIG_ENG_NM,SIG_KOR_NM,CTPRVN_CD,CTP_ENG_NM,CTP_KOR_NM,BikeRoadLength,BikeRoadCount
0,11110101,Cheongun-dong,청운동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
1,11110102,Singyo-dong,신교동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
2,11110103,Gungjeong-dong,궁정동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
3,11110104,Hyoja-dong,효자동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
4,11110105,Changseong-dong,창성동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,290.058108298734,5
5,11110106,Tongui-dong,통의동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,330.59518762034,5
6,11110107,Jeokseon-dong,적선동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,89.0889616844052,3
7,11110108,Tongin-dong,통인동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
8,11110109,Nusang-dong,누상동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
9,11110110,Nuha-dong,누하동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
10,11110111,Ogin-dong,옥인동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
11,11110112,Chebu-dong,체부동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
12,11110113,Pirun-dong,필운동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
13,11110114,Naeja-dong,내자동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
14,11110115,Sajik-dong,사직동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
15,11110116,Doryeom-dong,도렴동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
16,11110117,Dangju-dong,당주동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
17,11110118,Naesu-dong,내수동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
18,11110119,Sejongno,세종로,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1450.0126590036,18
19,11110120,Sinmunno 1(il)-ga,신문로1가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
20,11110121,Sinmunno 2(i)-ga,신문로2가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
21,11110122,Cheongjin-dong,청진동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
22,11110123,Seorin-dong,서린동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
23,11110124,Susong-dong,수송동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
24,11110125,Junghak-dong,중학동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,70.7253430336023,1
25,11110126,Jongno 1(il)-ga,종로1가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
26,11110127,Gongpyeong-dong,공평동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
27,11110128,Gwanhun-dong,관훈동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
28,11110129,Gyeonji-dong,견지동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
29,11110130,Waryong-dong,와룡동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,648.298009204362,6
30,11110131,Gwonnong-dong,권농동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
31,11110132,Unni-dong,운니동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,104.806131321747,1
32,11110133,Ikseon-dong,익선동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
33,11110134,Gyeongun-dong,경운동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
34,11110135,Gwancheol-dong,관철동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
35,11110136,Insa-dong,인사동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
36,11110137,Nagwon-dong,낙원동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
37,11110138,Jongno 2(i)-ga,종로2가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
38,11110139,Palpan-dong,팔판동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,299.817284717479,6
39,11110140,Samcheong-dong,삼청동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
40,11110141,Anguk-dong,안국동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,247.73148267983,3
41,11110142,Sogyeok-dong,소격동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,363.403776651866,9
42,11110143,Hwa-dong,화동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
43,11110144,Sagan-dong,사간동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,251.752031855995,3
44,11110145,Songhyeon-dong,송현동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,211.040382849692,4
45,11110146,Gahoe-dong,가회동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
46,11110147,Jae-dong,재동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,95.7258550817563,4
47,11110148,Gye-dong,계동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,105.968588156061,2
48,11110149,Wonseo-dong,원서동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
49,11110150,Hunjeong-dong,훈정동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
50,11110151,Myo-dong,묘동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
51,11110152,Bongik-dong,봉익동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
52,11110153,Donui-dong,돈의동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
53,11110154,Jangsa-dong,장사동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
54,11110155,Gwansu-dong,관수동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
55,11110156,Jongno 3(sam)-ga,종로3가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
56,11110157,Inui-dong,인의동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
57,11110158,Yeji -dong,예지동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
58,11110159,Wonnam-dong,원남동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,345.619607262226,2
59,11110160,Yeonji-dong,연지동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
60,11110161,Jongno 4(sa)-ga,종로4가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
61,11110162,Hyoje-dong,효제동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
62,11110163,Jongno 5(o)-ga,종로5가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
63,11110164,Jongno 6(yuk)-ga,종로6가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
64,11110165,Ihwa-dong,이화동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,27.0028514447878,1
65,11110166,Yeongeon-dong,연건동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,1490.70990591452,15
66,11110167,Chungsin-dong,충신동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
67,11110168,Dongsung-dong,동숭동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,643.957809265489,5
68,11110169,Hyehwa-dong,혜화동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,776.909801818502,8
69,11110170,Myeongnyun 1(il)-ga,명륜1가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
70,11110171,Myeongnyun 2(i)-ga,명륜2가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,597.464940708114,13
71,11110172,Myeongnyun 4(sa)-ga,명륜4가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,453.360438131991,9
72,11110173,Myeongnyun 3(sam)-ga,명륜3가,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
73,11110174,Changsin-dong,창신동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
74,11110175,Sungin-dong,숭인동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
75,11110176,Gyonam-dong,교남동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
76,11110177,Pyeong-dong,평동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
77,11110178,Songwol-dong,송월동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
78,11110179,Hongpa-dong,홍파동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
79,11110180,Gyobuk-dong,교북동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
80,11110181,Haengchon-dong,행촌동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
81,11110182,Gugi-dong,구기동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
82,11110183,Pyeongchang-dong,평창동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
83,11110184,Buam-dong,부암동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
84,11110185,Hongji-dong,홍지동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
85,11110186,Sinyeong-dong,신영동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
86,11110187,Muak-dong,무악동,11110,Jongno-gu,종로구,11,Seoul,서울특별시,0,0
87,11140101,Mugyo-dong,무교동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
88,11140102,Da-dong,다동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
89,11140103,Taepyeongno 1(il)-ga,태평로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
90,11140104,Euljiro 1(il)-ga,을지로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
91,11140105,Euljiro 2(i)-ga,을지로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
92,11140106,Namdaemunno 1(il)-ga,남대문로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
93,11140107,Samgak-dong,삼각동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
94,11140108,Suha-dong,수하동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
95,11140109,Janggyo-dong,장교동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
96,11140110,Supyo-dong,수표동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
97,11140111,Sogong-dong,소공동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
98,11140112,Namchang-dong,남창동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
99,11140113,Bukchang-dong,북창동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
100,11140114,Taepyeongno 2(i)-ga,태평로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
101,11140115,Namdaemunno 2(i)-ga,남대문로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
102,11140116,Namdaemunno 3(sam)-ga,남대문로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
103,11140117,Namdaemunno 4(sa)-ga,남대문로4가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
104,11140118,Namdaemunno 5(o)-ga,남대문로5가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
105,11140119,Bongnae-dong 1(il)-ga,봉래동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
106,11140120,Bongnae-dong 2(i)-ga,봉래동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
107,11140121,Hoehyeon-dong 1(il)-ga,회현동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
108,11140122,Hoehyeon-dong 2(i)-ga,회현동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
109,11140123,Hoehyeon-dong 3(sam)-ga,회현동3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
110,11140124,Chungmuro 1(il)-ga,충무로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
111,11140125,Chungmuro 2(i)-ga,충무로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
112,11140126,Myeong-dong 1(il)-ga,명동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
113,11140127,Myeong-dong 2(i)-ga,명동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
114,11140128,Namsan-dong 1(il)-ga,남산동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
115,11140129,Namsan-dong 2(i)-ga,남산동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
116,11140130,Namsan-dong 3(sam)-ga,남산동3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
117,11140131,Jeo-dong 1(il)-ga,저동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
118,11140132,Chungmuro 4(sa)-ga,충무로4가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
119,11140133,Chungmuro 5(o)-ga,충무로5가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
120,11140134,Inhyeon-dong 2(i)-ga,인현동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
121,11140135,Yegwan-dong,예관동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
122,11140136,Mukjeong-dong,묵정동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
123,11140137,Pil-dong 1(il)-ga,필동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
124,11140138,Pildong 2(i)-ga,필동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
125,11140139,Pil-dong 3(sam)-ga,필동3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
126,11140140,Namhak-dong,남학동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
127,11140141,Juja-dong,주자동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
128,11140142,Yejang-dong,예장동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
129,11140143,Jangchung-dong 1(il)-ga,장충동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
130,11140144,Jangchung-dong 2(i)-ga,장충동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,2439.16496831166,22
131,11140145,Gwanghui-dong 1(il)-ga,광희동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
132,11140146,Gwanghui-dong 2(i)-ga,광희동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
133,11140147,Ssangnim-dong,쌍림동,11140,Jung-gu,중구,11,Seoul,서울특별시,347.481703743004,9
134,11140148,Euljiro 6(yuk)-ga,을지로6가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
135,11140149,Euljiro 7(chil)-ga,을지로7가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
136,11140150,Euljiro 4(sa)-ga,을지로4가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
137,11140151,Euljiro 5(o)-ga,을지로5가,11140,Jung-gu,중구,11,Seoul,서울특별시,178.548478810554,3
138,11140152,Jugyo-dong,주교동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
139,11140153,Bangsan-dong,방산동,11140,Jung-gu,중구,11,Seoul,서울특별시,203.76279682268,1
140,11140154,Ojang-dong,오장동,11140,Jung-gu,중구,11,Seoul,서울특별시,6.2977754664827,1
141,11140155,Euljiro 3(sam)-ga,을지로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
142,11140156,Ipjeong-dong,입정동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
143,11140157,Sallim-dong,산림동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
144,11140158,Chungmuro 3(sam)-ga,충무로3가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
145,11140159,Cho-dong,초동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
146,11140160,Inhyeon-dong 1(il)-ga,인현동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
147,11140161,Jeo-dong 2(i)-ga,저동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
148,11140162,Sindang-dong,신당동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
149,11140163,Heungin-dong,흥인동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
150,11140164,Muhak-dong,무학동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
151,11140165,Hwanghak-dong,황학동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
152,11140166,Seosomun-dong,서소문동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
153,11140167,Jeong-dong,정동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
154,11140168,Sunhwa-dong,순화동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
155,11140169,Uijuro 1(il)-ga,의주로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
156,11140170,Chungjeongno 1(il)-ga,충정로1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
157,11140171,Jungnim-dong,중림동,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
158,11140172,Uijuro 2(i)-ga,의주로2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
159,11140173,Malli-dong 1(il)-ga,만리동1가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
160,11140174,Malli-dong 2(i)-ga,만리동2가,11140,Jung-gu,중구,11,Seoul,서울특별시,0,0
161,11170101,Huam-dong,후암동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
162,11170102,yongsan-dong  2(i)-ga,용산동2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,572.689335657077,6
163,11170103,Yongsan-dong 4(sa)-ga,용산동4가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,1549.16046366985,6
164,11170104,Garwol-dong,갈월동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,223.904421419468,2
165,11170105,Namyeong-dong,남영동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
166,11170106,Yongsan-dong 1(il)-ga,용산동1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,713.362427008936,6
167,11170107,Dongja-dong,동자동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
168,11170108,Seogye-dong,서계동,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
169,11170109,Cheongpa-dong 1(il)-ga,청파동1가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
170,11170110,Cheongpa-dong 2(i)-ga,청파동2가,11170,Yongsan-gu,용산구,11,Seoul,서울특별시,0,0
